,Date,Price,Open,High,Low,Change %
240,2010-01-28,1.3963,1.4021,1.4053,1.3936,-0.40%
241,2010-01-27,1.4019,1.4075,1.4098,1.3994,-0.40%
242,2010-01-26,1.4076,1.415,1.4181,1.4042,-0.54%
243,2010-01-25,1.4152,1.4161,1.4199,1.4128,0.10%
244,2010-01-22,1.4138,1.408,1.4182,1.4065,0.33%
245,2010-01-21,1.4091,1.4106,1.4144,1.4026,-0.07%
246,2010-01-20,1.4101,1.4291,1.4297,1.4078,-1.40%
247,2010-01-19,1.4301,1.4385,1.4415,1.4251,-0.59%
248,2010-01-18,1.4386,1.434,1.4403,1.4334,0.01%
249,2010-01-15,1.4385,1.4504,1.4514,1.4338,-0.81%
250,2010-01-14,1.4503,1.451,1.4556,1.4446,-0.06%
251,2010-01-13,1.4512,1.4484,1.4584,1.4456,0.12%
252,2010-01-12,1.4495,1.4514,1.4548,1.4453,-0.13%
253,2010-01-11,1.4514,1.4432,1.4558,1.4407,0.70%
254,2010-01-08,1.4413,1.432,1.444,1.4263,0.66%
255,2010-01-07,1.4318,1.4407,1.4447,1.4295,-0.66%
256,2010-01-06,1.4413,1.4364,1.4436,1.4282,0.31%
257,2010-01-05,1.4369,1.4409,1.4484,1.4346,-0.31%
258,2010-01-04,1.4413,1.4325,1.4457,1.4257,0.61%
259,2010-01-01,1.4326,1.4328,1.433,1.4322,0.06%
260,2009-12-31,1.4318,1.4339,1.4442,1.4306,-0.12%
261,2009-12-30,1.4335,1.4352,1.4364,1.4274,-0.13%
262,2009-12-29,1.4354,1.4377,1.446,1.4332,-0.20%
263,2009-12-28,1.4383,1.4376,1.4415,1.4354,-0.10%
264,2009-12-25,1.4397,1.4376,1.4436,1.4363,0.15%
265,2009-12-24,1.4375,1.4335,1.4419,1.4322,0.34%
266,2009-12-23,1.4327,1.4251,1.4367,1.4234,0.54%
267,2009-12-22,1.425,1.4283,1.4333,1.4217,-0.24%
268,2009-12-21,1.4284,1.4305,1.4374,1.4267,-0.41%
269,2009-12-18,1.4343,1.4339,1.4413,1.4259,-0.01%
270,2009-12-17,1.4345,1.4535,1.4537,1.4303,-1.32%
271,2009-12-16,1.4537,1.4535,1.459,1.4503,0.01%
272,2009-12-15,1.4536,1.4658,1.4666,1.4504,-0.82%
273,2009-12-14,1.4656,1.4625,1.4686,1.4597,0.23%
274,2009-12-11,1.4623,1.4733,1.4777,1.4585,-0.76%
275,2009-12-10,1.4735,1.4726,1.4762,1.4685,0.05%
276,2009-12-09,1.4727,1.4706,1.4785,1.467,0.19%
277,2009-12-08,1.4699,1.4821,1.4867,1.468,-0.81%
278,2009-12-07,1.4819,1.4853,1.4905,1.4756,-0.22%
279,2009-12-04,1.4851,1.505,1.5091,1.4819,-1.45%
