"Date","Price","Open","High","Low","Change %"
"Feb 20, 2008","1.4713","1.4727","1.4732","1.4614","-0.10%"
"Feb 19, 2008","1.4727","1.4655","1.4759","1.4642","0.46%"
"Feb 18, 2008","1.4659","1.4679","1.4692","1.4611","-0.14%"
"Feb 15, 2008","1.4680","1.4638","1.4711","1.4632","0.29%"
"Feb 14, 2008","1.4638","1.4570","1.4648","1.4548","0.47%"
"Feb 13, 2008","1.4570","1.4579","1.4600","1.4531","-0.09%"
"Feb 12, 2008","1.4583","1.4520","1.4615","1.4495","0.39%"
"Feb 11, 2008","1.4526","1.4518","1.4579","1.4482","0.11%"
"Feb 08, 2008","1.4510","1.4482","1.4548","1.4449","0.17%"
"Feb 07, 2008","1.4485","1.4636","1.4655","1.4440","-0.94%"
"Feb 06, 2008","1.4622","1.4645","1.4672","1.4591","-0.12%"
"Feb 05, 2008","1.4639","1.4832","1.4836","1.4622","-1.27%"
"Feb 04, 2008","1.4827","1.4807","1.4851","1.4794","0.18%"
"Feb 01, 2008","1.4800","1.4860","1.4954","1.4787","-0.44%"
"Jan 31, 2008","1.4866","1.4862","1.4915","1.4801","-0.09%"
"Jan 30, 2008","1.4880","1.4777","1.4907","1.4756","0.70%"
"Jan 29, 2008","1.4777","1.4784","1.4798","1.4737","-0.06%"
"Jan 28, 2008","1.4786","1.4681","1.4799","1.4660","0.78%"
"Jan 25, 2008","1.4672","1.4758","1.4777","1.4661","-0.65%"
"Jan 24, 2008","1.4768","1.4630","1.4781","1.4591","0.89%"
"Jan 23, 2008","1.4638","1.4627","1.4684","1.4510","0.08%"
"Jan 22, 2008","1.4627","1.4446","1.4644","1.4365","1.25%"
"Jan 21, 2008","1.4446","1.4605","1.4606","1.4422","-1.13%"
"Jan 18, 2008","1.4611","1.4647","1.4697","1.4604","-0.33%"
"Jan 17, 2008","1.4659","1.4651","1.4715","1.4588","0.00%"
"Jan 16, 2008","1.4659","1.4802","1.4860","1.4595","-1.01%"
"Jan 15, 2008","1.4808","1.4867","1.4923","1.4800","-0.40%"
"Jan 14, 2008","1.4868","1.4783","1.4916","1.4780","0.62%"
"Jan 11, 2008","1.4777","1.4808","1.4821","1.4762","-0.20%"
"Jan 10, 2008","1.4807","1.4658","1.4816","1.4640","1.00%"
"Jan 09, 2008","1.4661","1.4705","1.4745","1.4640","-0.32%"
"Jan 08, 2008","1.4708","1.4692","1.4746","1.4680","0.13%"
"Jan 07, 2008","1.4689","1.4747","1.4758","1.4659","-0.38%"
"Jan 04, 2008","1.4745","1.4748","1.4825","1.4695","-0.02%"
"Jan 03, 2008","1.4748","1.4726","1.4783","1.4687","0.14%"
"Jan 02, 2008","1.4727","1.4593","1.4752","1.4589","0.95%"
"Jan 01, 2008","1.4589","1.4587","1.4610","1.4578","-0.01%"
