"Date","Price","Open","High","Low","Change %"
"Jan 04, 2010","1.4413","1.4325","1.4457","1.4257","0.61%"
"Jan 01, 2010","1.4326","1.4328","1.4330","1.4322","0.06%"
"Dec 31, 2009","1.4318","1.4339","1.4442","1.4306","-0.12%"
"Dec 30, 2009","1.4335","1.4352","1.4364","1.4274","-0.13%"
"Dec 29, 2009","1.4354","1.4377","1.4460","1.4332","-0.20%"
"Dec 28, 2009","1.4383","1.4376","1.4415","1.4354","-0.10%"
"Dec 25, 2009","1.4397","1.4376","1.4436","1.4363","0.15%"
"Dec 24, 2009","1.4375","1.4335","1.4419","1.4322","0.34%"
"Dec 23, 2009","1.4327","1.4251","1.4367","1.4234","0.54%"
"Dec 22, 2009","1.4250","1.4283","1.4333","1.4217","-0.24%"
"Dec 21, 2009","1.4284","1.4305","1.4374","1.4267","-0.41%"
"Dec 18, 2009","1.4343","1.4339","1.4413","1.4259","-0.01%"
"Dec 17, 2009","1.4345","1.4535","1.4537","1.4303","-1.32%"
"Dec 16, 2009","1.4537","1.4535","1.4590","1.4503","0.01%"
"Dec 15, 2009","1.4536","1.4658","1.4666","1.4504","-0.82%"
"Dec 14, 2009","1.4656","1.4625","1.4686","1.4597","0.23%"
"Dec 11, 2009","1.4623","1.4733","1.4777","1.4585","-0.76%"
"Dec 10, 2009","1.4735","1.4726","1.4762","1.4685","0.05%"
"Dec 09, 2009","1.4727","1.4706","1.4785","1.4670","0.19%"
"Dec 08, 2009","1.4699","1.4821","1.4867","1.4680","-0.81%"
"Dec 07, 2009","1.4819","1.4853","1.4905","1.4756","-0.22%"
"Dec 04, 2009","1.4851","1.5050","1.5091","1.4819","-1.45%"
"Dec 03, 2009","1.5070","1.5044","1.5143","1.5042","0.16%"
"Dec 02, 2009","1.5046","1.5084","1.5111","1.5031","-0.28%"
"Dec 01, 2009","1.5088","1.5006","1.5118","1.4970","0.53%"
"Nov 30, 2009","1.5009","1.5011","1.5085","1.4964","0.28%"
"Nov 27, 2009","1.4967","1.5021","1.5024","1.4828","-0.31%"
"Nov 26, 2009","1.5013","1.5132","1.5143","1.4958","-0.84%"
"Nov 25, 2009","1.5140","1.4960","1.5145","1.4954","1.20%"
"Nov 24, 2009","1.4961","1.4965","1.4990","1.4888","-0.03%"
"Nov 23, 2009","1.4966","1.4859","1.5002","1.4832","0.71%"
"Nov 20, 2009","1.4861","1.4924","1.4937","1.4798","-0.38%"
"Nov 19, 2009","1.4918","1.4962","1.4966","1.4840","-0.31%"
"Nov 18, 2009","1.4965","1.4875","1.4991","1.4857","0.66%"
"Nov 17, 2009","1.4867","1.4971","1.5000","1.4806","-0.71%"
